timestamp,mode,target,dataset,alpha,experiments,ci_width,ci_tolerance,method,achieved,required_labels,avg_ci_length,gamma,mse_snapshot,coverage_snapshot,variance_snapshot,adaptive_batch_size,adaptive_update_freq,adaptive_warmup_batches,settings_key
20250913_001735,ci-cost,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Active_Inference,True,1200,0.0976942982285551,0.5,0.0007252767229386,0.96,0.0007227424985281,,,,mode=ci-cost|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001735,ci-cost,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Naive,True,2200,0.0986258575653579,0.5,0.0005818115830735,0.96,0.0005813847933884,,,,mode=ci-cost|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001735,ci-cost,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,PGAE,True,1000,0.0996756990337193,0.5,0.0006443293880669,0.96,0.0006178768803607,,,,mode=ci-cost|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001735,ci-cost,ECON1MOD,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Adaptive_PGAE,True,1300,0.0987623945566304,0.5,0.0008503820825263,0.9,0.0008461334193961,,,,mode=ci-cost|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001919,ci-cost,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Active_Inference,True,300,0.0949823242545899,0.5,0.0004849219326913,0.98,0.0004664528563925,,,,mode=ci-cost|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001919,ci-cost,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Naive,True,500,0.097938483708225,0.5,0.0004790503155467,1.0,0.0004785216,,,,mode=ci-cost|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001919,ci-cost,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,PGAE,True,300,0.0897897508625378,0.5,0.0006266624458226,0.9,0.0006213552084485,,,,mode=ci-cost|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_001919,ci-cost,UNITY,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Adaptive_PGAE,True,300,0.0904550815941657,0.5,0.0003987046759552,0.98,0.0003945969990814,,,,mode=ci-cost|target=UNITY|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002223,ci-cost,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Active_Inference,True,1000,0.0952715466869137,0.5,0.0004024234764791,1.0,0.0004020494207457,,,,mode=ci-cost|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002223,ci-cost,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Naive,True,1900,0.0987231338437009,0.5,0.0006941898247822,0.98,0.0006925602216066,,,,mode=ci-cost|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002223,ci-cost,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,PGAE,True,800,0.0971633306927966,0.5,0.0007022104373255,0.9,0.0007009066073823,,,,mode=ci-cost|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002223,ci-cost,GPT1,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Adaptive_PGAE,True,900,0.0979721802951402,0.5,0.0005620554926102,0.96,0.0005321127216866,,,,mode=ci-cost|target=GPT1|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002628,ci-cost,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Active_Inference,True,1400,0.0982596842185953,0.5,0.0004921674100402,0.98,0.0004914936631816,,,,mode=ci-cost|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002628,ci-cost,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Naive,True,2300,0.0993544126657017,0.5,0.0005611675974265,0.94,0.0005519776181474,,,,mode=ci-cost|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002628,ci-cost,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,PGAE,True,1200,0.0957069018750634,0.5,0.0007480432961007,0.92,0.0007464486867834,,,,mode=ci-cost|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_002628,ci-cost,MOREGUNIMPACT,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.1,0.0,Adaptive_PGAE,True,1400,0.0961854159761003,0.5,0.0006895267668579,0.9,0.000683921443232,,,,mode=ci-cost|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.1|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_003704,ci-cost,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.05,0.0,Active_Inference,True,2500,0.049153223741079034,0.5,0.00016235717892692733,0.96,0.00016147945334130532,,,,mode=ci-cost|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.05|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_003704,ci-cost,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.05,0.0,Naive,True,4800,0.04974132907930593,0.5,6.179146841125028e-05,1.0,6.032118055555571e-05,,,,mode=ci-cost|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.05|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_003704,ci-cost,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.05,0.0,PGAE,True,2400,0.04951282704485436,0.5,0.00011624470644661603,0.98,0.00011574873017537064,,,,mode=ci-cost|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.05|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
20250913_003704,ci-cost,GAMBLERESTR,archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv,0.95,50,0.05,0.0,Adaptive_PGAE,True,2600,0.0492133455707531,0.5,0.0001618581447939883,0.94,0.0001611498367050077,,,,mode=ci-cost|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_base_gpt41mini_lr06_step560_20250911_214943.csv|ci=0.05|tol=0.0|alpha=0.95|experiments=50|gamma_grid=0.5|adaptive_defaults=250-1-2
